chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc,label
0.38742158,2668.896371959015,1832.493561754277,4595.280546300552,0.1935101677389706,-17.904682,infected
0.52321285,1710.1973603064637,1890.8416605825287,3608.8732130984044,0.08903341090425532,-2.7002046,infected
0.37847006,2359.814554316108,2459.655716651016,4956.12003102022,0.12506462545955882,-11.722676,infected
0.42859793,2549.164052237456,2599.8024232768253,5533.38720703125,0.136884765625,-18.890842,infected
0.45147145,2472.34228580445,2617.437923034174,5263.267723289696,0.1144799584740991,-18.226374,infected
0.2771568,2164.295281916036,1846.4149647589818,3874.8816538665255,0.12287307997881355,-13.097514,infected
0.5556699,2651.568688002443,2910.82084330311,5878.125,0.11146763392857142,-6.3790746,infected
0.46934885,4607.536642041221,3067.4243755882403,8195.537109375,0.35665072737068965,-24.785612,infected
0.35976982,1786.6699629555844,1901.5737035916893,3251.4557869203627,0.08849703881048387,-23.497562,infected
0.43996492,1063.818928859789,1646.0770337133563,1702.3105396943934,0.04320930032169118,-23.979355,infected
0.38742158,2668.896371959015,1832.493561754277,4595.280546300552,0.1935101677389706,-17.904682,infected
0.52321285,1710.1973603064637,1890.8416605825287,3608.8732130984044,0.08903341090425532,-2.7002046,infected
0.37847006,2359.814554316108,2459.655716651016,4956.12003102022,0.12506462545955882,-11.722676,infected
0.42859793,2549.164052237456,2599.8024232768253,5533.38720703125,0.136884765625,-18.890842,infected
0.45147145,2472.34228580445,2617.437923034174,5263.267723289696,0.1144799584740991,-18.226374,infected
0.2771568,2164.295281916036,1846.4149647589818,3874.8816538665255,0.12287307997881355,-13.097514,infected
0.5556699,2651.568688002443,2910.82084330311,5878.125,0.11146763392857142,-6.3790746,infected
0.46934885,4607.536642041221,3067.4243755882403,8195.537109375,0.35665072737068965,-24.785612,infected
0.35976982,1786.6699629555844,1901.5737035916893,3251.4557869203627,0.08849703881048387,-23.497562,infected
0.43996492,1063.818928859789,1646.0770337133563,1702.3105396943934,0.04320930032169118,-23.979355,infected
0.56309235,2677.2810382886782,2760.74301832973,6060.851299579327,0.12474459134615384,-17.320198,infected
0.3555793,2022.4884002147835,2153.247422469457,3965.75101964614,0.10370950137867647,-8.592227,infected
0.40062976,1859.402279785234,2327.236931914032,3975.567626953125,0.0691995059742647,-14.393666,infected
0.63072425,2295.7030366068634,2284.0881194818567,4554.9999340160475,0.0914867504222973,-5.2235823,infected
0.5329519,4007.696812454162,2324.889670617233,5994.550115411932,0.3435347123579545,-18.492754,infected
0.46699426,2685.533311984238,2660.453265869796,5700.958251953125,0.11608111669146826,-9.368332,infected
0.4094199,2686.268779211876,2462.6887280658952,5281.328099435536,0.14887209587696335,-4.2330403,infected
0.73311085,1869.0109369643055,2697.8803722535404,4669.88525390625,0.037054567920918366,-11.238427,infected
0.53181696,2905.724895071139,2832.5232820697124,6290.282635356105,0.14329729893410853,-11.015131,infected
0.58916664,3480.087812146038,2504.470926831021,6288.875214041096,0.2838134765625,-30.356886,infected
